r_package,js_library
[docsifier](https://docsifier.etiennebacher.com/),[docsify.js](https://docsify.js.org/#/)
[tinyslider](https://tinyslider.etiennebacher.com/),[tiny-slider.js](https://github.com/ganlanyuan/tiny-slider)
[shinyfullscreen](https://github.com/etiennebacher/shinyfullscreen),[screenfull.js](https://github.com/sindresorhus/screenfull.js)
[prompter](https://github.com/etiennebacher/prompter),[hint.css](https://github.com/chinchang/hint.css)
[circletyper](https://github.com/etiennebacher/circletyper),[CircleType.js](https://github.com/peterhry/CircleType)
[spoiler](https://github.com/etiennebacher/spoiler),[spoiler-alert.js](https://github.com/joshbuddy/spoiler-alert)
[typed](https://github.com/JohnCoene/typed/),[typed.js](https://github.com/mattboldt/typed.js/)
[cicerone](https://cicerone.john-coene.com/),[driver.js](https://github.com/kamranahmedse/driver.js)
[ambiorix](https://github.com/JohnCoene/ambiorix),[express.js](https://github.com/expressjs/express)
[pushbar](https://github.com/JohnCoene/pushbar),[pushbar.js](https://oncebot.github.io/pushbar.js/)
[tippy](https://github.com/JohnCoene/tippy/),[tippy.js](https://atomiks.github.io/tippyjs)
